NUTS_ID;Operating Hours [h/a];CO2 captured [t/a];PV share [%];Power Installed [kw];Capacity Battery [kwh];Cost of Electricity [€/tCO2];Cost of Heat - CAPEX [€/tCO2];Additional Costs [€/tCO2];CAPEX DAC [€/tCO2];Total Costs [€/tCO2];Score_technology;Score_total;Score_location
DEB12;3977;454173;116;46070;11409;13;115;43;124;256;8;9;8
DE275;1927;220063;995;30035;8603;9;124;90;256;440;2;7;6
DE145;4533;517669;484;62875;15951;12;114;38;109;234;9;10;6
DEG0M;3863;441155;149;42554;11731;12;115;45;128;260;8;9;8
DEB13;4795;547589;0.36;57154;12636;11;113;36;103;224;9;10;8
DEE04;5368;613026;382;57965;14597;10;113;32;92;208;10;10;9
DE214;4310;492202;626;67136;23241;13;114;40;115;243;8;9;6
DEB3B;4366;498597;448;61697;12577;13;114;40;113;240;9;10;7
DE231;4292;490146;536;59514;16031;12;114;40;115;242;8;9;6
DE234;4627;528403;475;61555;15799;12;114;37;107;230;9;10;7
DE946;5110;583562;0.02;39289;9926;9;113;34;97;213;9;10;9
DEE05;5440;621248;409;64233;14651;11;113;32;91;207;10;10;8
DE251;5144;587445;469;65934;21210;12;113;34;96;215;9;10;7
DE256;4806;548845;485;62621;17987;12;113;36;103;224;9;10;7
DE261;5486;626501;435;72215;30480;13;113;31;90;208;10;10;7
DE264;5174;590871;383;67545;26300;13;113;33;95;215;9;10;6
DE271;1971;225088;1;30397;8410;9;123;88;251;431;3;8;6
DE276;3355;383141;39;47605;15712;17;116;51;147;292;7;9;7
DE947;4766;544277;53;27335;10598;7;113;36;104;221;9;10;9
DEB3C;5007;571799;478;75266;11365;13;113;34;99;220;9;10;7
DE265;3744;427565;124;53934;11210;15;115;46;132;270;8;9;7
DEB14;4739;541194;467;61764;22760;12;113;36;104;227;9;10;7
DE216;1839;210014;764;33156;9429;13;125;94;269;461;2;7;6
DE121;4330;494486;573;65721;19298;13;114;40;114;242;9;10;6
DE241;4659;532058;452;60854;15650;12;114;37;106;229;9;10;7
DE245;4739;541194;466;61830;16964;12;113;36;104;227;9;10;7
DE405;4716;538567;41;44111;11892;11;114;37;105;226;9;10;9
DED2C;4181;477470;93;44525;13165;12;114;41;118;246;8;9;8
DE242;2176;248499;999;37357;9795;10;122;79;227;399;4;8;7
DE246;2240;255808;991;38381;9860;10;121;77;221;390;4;8;7
DE215;1867;213211;999;27211;8695;9;124;92;265;451;2;7;6
DE715;5163;589615;461;68506;24224;12;113;33;96;215;9;10;7
DE300;5556;634495;349;60312;14109;10;112;31;89;203;10;10;8
DEB22;4926;562549;369;58621;13677;11;113;35;100;220;9;10;8
DE146;4478;511388;613;59933;29515;12;114;39;110;235;9;10;7
DEA41;5789;661104;387;62809;15658;10;112;30;85;198;10;10;9
DEB15;4607;526119;421;59443;15078;12;114;37;107;231;9;10;8
DE112;4829;551472;569;66376;29124;12;113;36;102;224;9;10;7
DEA51;4356;497455;94;43706;13428;11;114;40;113;239;9;10;9
DE147;2366;270197;997;37802;10902;10;120;73;209;372;4;8;6
DEA22;5096;581963;393;57281;16770;11;113;34;97;215;9;10;8
DEE07;4584;523493;122;50417;9600;12;114;38;108;232;9;10;9
DEA34;4380;500196;39;40422;11718;11;114;39;113;238;9;10;9
DEA31;3837;438185;75;37956;14943;12;115;45;129;261;8;9;8
DE401;4304;491517;37;43506;11834;12;114;40;115;241;9;10;8
DE911;4934;563463;362;54112;11609;10;113;35;100;219;9;10;9
DE132;1997;228057;993;30776;13059;10;123;86;247;428;3;8;5
DE501;5546;633353;378;54808;12881;9;112;31;89;203;10;10;9
DE502;5803;662703;382;49884;14108;8;112;30;85;196;10;10;9
DEE08;4583;523379;536;54731;19629;11;114;38;108;230;9;10;8
DE12A;2409;275108;762;42968;11240;13;120;72;205;371;5;8;7
DE931;4760;543592;62;44674;12086;11;113;36;104;225;9;10;9
DE235;2261;258206;999;39216;8395;10;121;76;218;387;4;8;6
DED41;4763;543935;517;55193;24894;11;113;36;104;225;9;10;8
DE948;5218;595896;94;43246;11675;9;113;33;95;210;9;10;9
DE243;4835;552157;495;63361;24246;12;113;36;102;224;9;10;8
DE247;4351;496884;508;59780;17038;12;114;40;114;240;9;10;7
DEB1C;4778;545648;433;60916;12810;11;113;36;103;225;9;10;8
DEA35;5533;631869;396;62232;10779;10;112;31;89;204;10;10;9
DE402;5788;660990;378;63988;12620;10;112;30;85;198;10;10;9
DE932;4295;490489;148;34076;10638;9;114;40;115;239;9;10;9
DE217;3918;447436;552;58902;16637;13;115;44;126;259;8;9;7
DE406;5920;676064;383;66013;18833;11;112;29;83;196;10;10;8
DE711;5310;606402;454;70544;25709;13;113;33;93;211;9;10;6
DE716;4790;547018;459;68852;13889;13;113;36;103;226;9;10;6
DE224;2330;266086;1;39071;9915;10;121;74;212;377;4;8;6
DE941;5229;597152;28;44882;9629;10;113;33;94;211;9;10;9
DEE01;3980;454516;19;42381;12568;12;115;43;124;255;8;9;8
DE922;5712;652310;374;57684;15974;10;112;30;86;199;10;10;9
DE277;3641;415802;115;51112;11949;15;116;47;136;275;7;9;7
DE22C;2309;263688;997;38769;9861;10;121;75;214;380;4;8;6
DEF05;4928;562778;84;35263;11416;8;113;35;100;217;9;10;9
DE27D;4438;506820;515;62119;15362;12;114;39;111;237;9;10;7
DEB3D;5053;577053;487;67189;23974;12;113;34;98;218;9;10;7
