NUTS_ID;Operating Hours [h/a];CO2 captured [t/a];PV share [%];Power Installed [kw];Capacity Battery [kwh];Cost of Electricity [€/tCO2];Cost of Heat - CAPEX [€/tCO2];Additional Costs [€/tCO2];CAPEX DAC [€/tCO2];Total Costs [€/tCO2];Score_technology;Score_total;Score_location
DEB12;1979;113001;0.99;19610;6890;12;142;100;287;495;3;7;8
DE275;2110;120481;1.00;19965;4404;11;140;94;269;468;4;7;6
DE145;2331;133100;1.00;21684;5648;11;139;85;244;432;5;8;6
DEG0M;2062;117740;0.99;18882;4451;11;141;96;275;477;4;7;8
DEB13;1900;108490;1.00;20064;4439;12;142;104;299;512;3;7;8
DEE04;5656;322958;0.37;35542;7367;12;129;35;100;230;10;10;9
DE214;2493;142350;0.98;23858;6827;12;138;80;228;411;5;8;6
DEB3B;1997;114029;1.00;20061;4501;12;141;99;284;491;4;7;7
DE231;2184;124706;0.99;20852;6200;12;140;91;260;456;4;7;6
DE234;2316;132244;1.00;22400;6416;12;139;86;245;435;5;8;7
DE946;5219;298005;0.10;23472;7163;10;130;38;109;241;9;10;9
DEE05;2138;122080;1.00;19841;6154;11;140;93;266;464;4;7;8
DE251;1898;108376;0.99;18596;4489;11;142;105;299;512;3;7;7
DE256;1980;113058;1.00;19111;4936;11;142;100;287;494;3;7;7
DE261;1971;112544;1.00;20461;4188;12;142;101;288;496;3;7;7
DE264;1904;108718;0.98;18629;5936;12;142;104;298;511;3;7;6
DE271;2094;119567;1.00;20218;3774;11;141;95;271;471;4;7;6
DE276;2180;124478;1.00;20309;4509;11;140;91;260;456;4;7;7
DE947;5626;321245;0.38;23182;6822;8;129;35;101;227;10;10;9
DEB3C;1933;110374;1.00;18959;4844;12;142;103;294;504;3;7;7
DE265;1966;112259;1.00;20179;4564;12;142;101;289;497;3;7;7
DEB14;2035;116199;0.99;20619;5056;12;141;98;279;483;4;7;7
DE216;2176;124250;1.00;19603;4337;10;140;91;261;456;4;7;6
DE121;1997;114029;1.00;19888;4353;11;141;99;284;490;4;7;6
DE241;1814;103579;1.00;17434;5247;12;143;109;313;531;3;7;7
DE245;1842;105178;0.99;18612;3947;12;143;108;308;525;3;7;7
DE405;6182;352992;0.38;38995;7852;12;129;32;92;218;10;10;9
DED2C;1810;103351;1.00;17996;3921;11;143;110;314;532;3;7;8
DE242;2094;119567;1.00;21276;4573;12;141;95;271;472;4;7;7
DE246;2337;133443;1.00;23707;5750;12;139;85;243;432;5;8;7
DE215;1933;110374;1.00;16640;4391;10;142;103;294;503;3;7;6
DE715;1740;99354;1.00;17001;4714;12;144;114;326;550;2;6;7
DE300;2021;115399;1.00;19940;5854;12;141;98;281;486;4;7;8
DEB22;1822;104036;1.00;17543;5509;12;143;109;312;529;3;7;8
DE146;2371;135384;1.00;21064;6166;11;138;84;239;426;5;8;7
DEA41;6004;342828;0.41;39179;7983;12;129;33;95;222;10;10;9
DEB15;1972;112601;1.00;20501;4568;12;142;101;288;496;3;7;8
DE112;2102;120024;0.99;19959;5040;11;141;94;270;470;4;7;7
DEA51;5641;322101;0.39;35681;7841;12;129;35;101;231;10;10;9
DE147;2341;133671;1.00;21243;6447;11;139;85;243;431;5;8;6
DEA22;1808;103237;1.00;18142;5236;12;143;110;314;533;3;7;8
DEE07;5358;305942;0.40;34730;8898;12;130;37;106;239;10;10;9
DEA34;4475;255523;0.10;24507;6855;12;131;44;127;268;9;9;9
DEA31;5826;332665;0.44;39259;7305;12;129;34;97;226;10;10;8
DE401;2010;114771;1.00;19844;5082;12;141;99;282;488;4;7;8
DE911;5244;299432;0.40;33436;7574;12;130;38;108;241;9;10;9
DE132;2223;126933;1.00;21406;5505;11;140;89;255;449;5;7;5
DE501;5839;333407;0.38;33714;7081;11;129;34;97;225;10;10;9
DE502;5385;307484;0.15;23523;7200;10;129;37;105;235;10;10;9
DEE08;2043;116655;1.00;18232;5698;11;141;97;278;481;4;7;8
DE12A;2147;122594;1.00;21287;4413;11;140;92;264;462;4;7;7
DE931;4471;255294;0.27;26610;8046;12;131;44;127;268;9;9;9
DE235;2338;133500;1.00;24027;4489;12;139;85;243;432;5;8;6
DED41;2056;117398;0.99;20136;3877;11;141;97;276;479;4;7;8
DE948;5134;293151;0.10;24554;6590;11;130;39;111;244;9;9;9
DE243;5350;305485;0.44;38854;15393;14;130;37;106;241;9;10;8
DE247;2196;125392;1.00;21924;5399;12;140;90;259;454;4;7;7
DEB1C;2050;117055;1.00;21173;4655;12;141;97;277;480;4;7;8
DEA35;5310;303201;0.44;33805;7961;12;130;37;107;239;9;10;9
DE402;5804;331408;0.39;36066;9915;12;129;34;98;227;10;10;9
DE932;5040;287784;0.02;20445;6610;10;130;39;113;245;9;9;9
DE217;2062;117740;1.00;19321;4376;11;141;96;275;477;4;7;7
DE406;2069;118140;0.99;19917;6505;12;141;96;274;477;4;7;8
DE711;1931;110260;1.00;19805;3970;12;142;103;294;504;3;7;6
DE716;1853;105806;1.00;17480;5570;12;143;107;306;522;3;7;6
