NUTS_ID;verweis
DEB12;Ahrweiler
DE275;Aichach-Friedberg
DE145;Alb-Donau-Kreis
DEG0M;Altenburger Land
DEB13;Altenkirchen (Westerwald)
DEE04;Altmarkkreis Salzwedel
DE214;Altötting
DEB3B;Alzey-Worms
DE231;Amberg
DE234;Amberg-Sulzbach
DE946;Ammerland
DEE05;Anhalt-Bitterfeld
DE251;Ansbach
DE256;Ansbach
DE261;Aschaffenburg
DE264;Aschaffenburg
DE271;Augsburg
DE276;Augsburg
DE947;Aurich
DEB3C;Bad Dürkheim
DE265;Bad Kissingen
DEB14;Bad Kreuznach
DE216;Bad Tölz-Wolfratshausen
DE121;Baden-Baden
DE241;Bamberg
DE245;Bamberg
DE405;Barnim
DED2C;Bautzen
DE242;Bayreuth
DE246;Bayreuth
DE215;Berchtesgadener Land
DE715;Bergstraße
DE300;Berlin
DEB22;Bernkastel-Wittlich
DE146;Biberach
DEA41;Bielefeld
DEB15;Birkenfeld
DE112;Böblingen
DEA51;Bochum
DE147;Bodenseekreis
DEA22;Bonn
DEE07;Börde
DEA34;Borken
DEA31;Bottrop
DE401;Brandenburg an der Havel
DE911;Braunschweig
DE132;Breisgau-Hochschwarzwald
DE501;Bremen
DE502;Bremerhaven
DEE08;Burgenlandkreis
DE12A;Calw
DE931;Celle
DE235;Cham
DED41;Chemnitz
DE948;Cloppenburg
DE243;Coburg
DE247;Coburg
DEB1C;Cochem-Zell
DEA35;Coesfeld
DE402;Cottbus
DE932;Cuxhaven
DE217;Dachau
DE406;Dahme-Spreewald
DE711;Darmstadt
DE716;Darmstadt-Dieburg
DE224;Deggendorf
DE941;Delmenhorst
DEE01;Dessau-Roßlau
DE922;Diepholz
DE277;Dillingen a.d.Donau
DE22C;Dingolfing-Landau
DEF05;Dithmarschen
DE27D;Donau-Ries
DEB3D;Donnersbergkreis
DEA52;Dortmund
DED21;Dresden
DEA12;Duisburg
DEA26;Düren
DEA11;Düsseldorf
DE218;Ebersberg
DEG06;Eichsfeld
DE219;Eichstätt
DEB23;Eifelkreis Bitburg-Prüm
DEG0N;
DE407;Elbe-Elster
DE942;Emden
DE133;Emmendingen
DE949;Emsland
DEA56;Ennepe-Ruhr-Kreis
DE12B;Enzkreis
DE21A;Erding
DEG01;Erfurt
DE252;Erlangen
DE257;Erlangen-Höchstadt
DED42;Erzgebirgskreis
DEA13;Essen
DE113;Esslingen
DEA28;Euskirchen
DEF01;Flensburg
DE248;Forchheim
DEB31;Frankenthal (Pfalz)
DE403;Frankfurt (Oder)
DE712;Frankfurt am Main
DE131;Freiburg im Breisgau
DE21B;Freising
DE12C;Freudenstadt
DE225;Freyung-Grafenau
DE94A;Friesland
DE732;Fulda
DE21C;Fürstenfeldbruck
DE253;Fürth
DE258;Fürth
DE21D;Garmisch-Partenkirchen
DEA32;Gelsenkirchen
DEG02;Gera
DEB3E;Germersheim
DE721;Gießen
DE914;Gifhorn
DE114;Göppingen
DED2D;Görlitz
DE916;Goslar
DEG0C;Gotha
DE91C;Göttingen
DE94B;Grafschaft Bentheim
DEG0L;Greiz
DE717;Groß-Gerau
DE278;Günzburg
DEA42;Gütersloh
DEA53;Hagen
DEE02;Halle (Saale)
DE600;Hamburg
DE923;Hameln-Pyrmont
DEA54;Hamm
DE933;Harburg
DEE09;Harz
DE267;Haßberge
DE408;Havelland
DE938;Heidekreis
DE125;Heidelberg
DE11C;Heidenheim
DE117;Heilbronn
DE118;Heilbronn
DEA29;Heinsberg
DE917;Helmstedt
DEA43;Herford
DEA55;Herne
DE733;Hersfeld-Rotenburg
DEF06;Herzogtum Lauenburg
DEG0E;Hildburghausen
DE925;Hildesheim
DEA57;Hochsauerlandkreis
DE718;Hochtaunuskreis
DE244;Hof
DE249;Hof
DE119;Hohenlohekreis
DE926;Holzminden
DEA44;Höxter
DEG0F;Ilm-Kreis
DE211;Ingolstadt
