NUTS_ID;County;Distance to Nearest CO2 Pipeline (km);Score
DE111;Stuttgart, Stadtkreis;5,522;9,7
DE112;Böblingen;5;9,8
DE113;Esslingen;79,549;6,2
DE114;Göppingen;56,552;7,3
DE115;Ludwigsburg;113,104;4,6
DE116;Rems-Murr-Kreis;15,411;9,3
DE117;Heilbronn, Stadtkreis;44,851;7,8
DE118;Heilbronn, Landkreis;57,921;7,2
DE119;Hohenlohekreis;4,071;9,8
DE11A;Schwäbisch Hall;30,682;8,5
DE11B;Main-Tauber-Kreis;0,002;10
DE11C;Heidenheim;11,268;9,5
DE11D;Ostalbkreis;1,217;9,9
DE121;Baden-Baden, Stadtkreis;6,034;9,7
DE122;Karlsruhe, Stadtkreis;12,887;9,4
DE123;Karlsruhe, Landkreis;13,918;9,3
DE124;Rastatt;7,995;9,6
DE125;Heidelberg, Stadtkreis;0,954;10
DE126;Mannheim, Stadtkreis;15,978;9,2
DE127;Neckar-Odenwald-Kreis;44,591;7,9
DE128;Rhein-Neckar-Kreis;1,87;9,9
DE129;Pforzheim, Stadtkreis;13,68;9,3
DE12A;Calw;12,055;9,4
DE12B;Enzkreis;15,709;9,2
DE12C;Freudenstadt;31,303;8,5
DE131;Freiburg im Breisgau, Stadtkreis;52,132;7,5
DE132;Breisgau-Hochschwarzwald;39,557;8,1
DE133;Emmendingen;13,4;9,4
DE134;Ortenaukreis;72,714;6,5
DE135;Rottweil;71,825;6,5
DE136;Schwarzwald-Baar-Kreis;55,422;7,3
DE137;Tuttlingen;84,382;5,9
DE138;Konstanz;0,122;10
DE139;Lörrach;19,224;9,1
DE13A;Waldshut;52,902;7,5
DE141;Reutlingen;26,723;8,7
DE142;Tübingen, Landkreis;27,66;8,7
DE143;Zollernalbkreis;34,85;8,3
DE144;Ulm, Stadtkreis;0,809;10
DE145;Alb-Donau-Kreis;0,619;10
DE146;Biberach;10,323;9,5
DE147;Bodenseekreis;10,58;9,5
DE148;Ravensburg;18,12;9,1
DE149;Sigmaringen;3,966;9,8
DE211;Ingolstadt, Kreisfreie Stadt;36,219;8,3
DE212;München, Kreisfreie Stadt;23,713;8,9
DE213;Rosenheim, Kreisfreie Stadt;5,375;9,7
DE214;Altötting;27,333;8,7
DE215;Berchtesgadener Land;2,332;9,9
DE216;Bad Tölz-Wolfratshausen;25,624;8,8
DE217;Dachau;1,772;9,9
DE218;Ebersberg;8,331;9,6
DE219;Eichstätt;2,065;9,9
DE21A;Erding;3,735;9,8
DE21B;Freising;38,261;8,2
DE21C;Fürstenfeldbruck;39,105;8,1
DE21D;Garmisch-Partenkirchen;66,229;6,8
DE21E;Landsberg am Lech;82,803;6
DE21F;Miesbach;5,738;9,7
DE21G;Mühldorf a. Inn;37,838;8,2
DE21H;München, Landkreis;35,85;8,3
DE21I;Neuburg-Schrobenhausen;34,998;8,3
DE21J;Pfaffenhofen a. d. Ilm;58,623;7,2
DE21K;Rosenheim, Landkreis;2,833;9,9
DE21L;Starnberg;9,855;9,5
DE21M;Traunstein;35,088;8,3
DE21N;Weilheim-Schongau;87,759;5,8
DE221;Landshut, Kreisfreie Stadt;64,416;6,9
DE222;Passau, Kreisfreie Stadt;68,084;6,7
DE223;Straubing, Kreisfreie Stadt;3,235;9,8
DE224;Deggendorf;1,687;9,9
DE225;Freyung-Grafenau;34,036;8,4
DE226;Kelheim;4,167;9,8
DE227;Landshut, Landkreis;53,628;7,4
DE228;Passau, Landkreis;46,278;7,8
DE229;Regen;12,919;9,4
DE22A;Rottal-Inn;8,625;9,6
DE22B;Straubing-Bogen;11,149;9,5
DE22C;Dingolfing-Landau;15,937;9,2
DE231;Amberg, Kreisfreie Stadt;17,203;9,2
DE232;Regensburg, Kreisfreie Stadt;26,568;8,7
DE233;Weiden i. d. Opf, Kreisfreie Stadt;72,684;6,5
DE234;Amberg-Sulzbach;47,952;7,7
DE235;Cham;45,187;7,8
DE236;Neumarkt i. d. OPf.;8,621;9,6
DE237;Neustadt a. d. Waldnaab;7,817;9,6
DE238;Regensburg, Landkreis;19,268;9,1
DE239;Schwandorf;3,483;9,8
DE23A;Tirschenreuth;31,002;8,5
DE241;Bamberg, Kreisfreie Stadt;25,905;8,8
DE242;Bayreuth, Kreisfreie Stadt;30,29;8,5
DE243;Coburg, Kreisfreie Stadt;54,829;7,4
DE244;Hof, Kreisfreie Stadt;43,166;7,9
DE245;Bamberg, Landkreis;62,68;7
DE246;Bayreuth, Landkreis;36,464;8,2
DE247;Coburg, Landkreis;68,213;6,7
DE248;Forchheim;88,207;5,8
DE249;Hof, Landkreis;12,127;9,4
DE24A;Kronach;41,304;8
DE24B;Kulmbach;58,301;7,2
DE24C;Lichtenfels;70,507;6,6
DE24D;Wunsiedel i. Fichtelgebirge;27,85;8,7
DE251;Ansbach, Kreisfreie Stadt;37,424;8,2
DE252;Erlangen, Kreisfreie Stadt;52,418;7,5
DE253;Fürth, Kreisfreie Stadt;20,651;9
DE254;Nürnberg, Kreisfreie Stadt;0,913;10
DE255;Schwabach, Kreisfreie Stadt;2,066;9,9
DE256;Ansbach, Landkreis;23,726;8,9
DE257;Erlangen-Höchstadt;40,962;8
DE258;Fürth, Landkreis;36,792;8,2
DE259;Nürnberger Land;12,746;9,4
DE25A;Neustadt a. d. Aisch-Bad Windsheim;10,741;9,5
DE25B;Roth;8,684;9,6
DE25C;Weißenburg-Gunzenhausen;5,128;9,8
