NUTS_ID;Operating Hours [h/a];CO2 captured [t/a];PV share [%];Power Installed [kw];Capacity Battery [kwh];Cost of Electricity [€/tCO2];Cost of Heat - CAPEX [€/tCO2];Additional Costs [€/tCO2];CAPEX DAC [€/tCO2];Total Costs [€/tCO2];Score_technology;Score_total;Score_location
DEB12;5012;28568;0.68;6685;2658;22;207;3;180;334;9;9;8
DE275;4879;27810;0.59;6201;2642;23;207;3;185;339;9;9;6
DE145;2508;14296;1.00;3476;1492;18;219;5;360;524;4;7;6
DEG0M;3920;22344;0.59;4446;1321;19;210;3;230;385;7;8;8
DEB13;5069;28893;0.43;5686;1379;21;206;2;178;330;9;9;8
DEE04;5695;32462;0.40;5660;1435;19;205;2;159;307;9;9;9
DE214;2728;15550;1.00;4339;1159;19;217;5;331;493;5;7;6
DEB3B;4241;24174;0.50;5362;1821;23;209;3;213;370;8;8;7
DE231;1925;10973;1.00;2719;1145;18;226;7;469;642;1;5;6
DE234;5161;29418;0.53;6139;2480;22;206;2;175;328;9;9;7
DE946;5887;33556;0.35;4845;1120;16;205;2;153;298;10;9;9
DEE05;5161;29418;0.50;5481;2316;20;206;2;175;326;9;9;8
DE251;6090;34713;0.57;8126;2527;23;204;2;148;300;9;9;7
DE256;5262;29993;0.52;6419;1878;21;206;2;172;324;9;9;7
DE261;5453;31082;0.38;6428;2499;23;206;2;166;319;9;9;7
DE264;5041;28734;0.49;6202;2880;24;206;3;179;334;9;9;6
DE271;2780;15846;1.00;4367;1248;19;216;5;325;487;5;7;6
DE276;4634;26414;0.68;6309;2612;23;208;3;195;350;8;8;7
DE947;5337;30421;0.42;3553;1094;13;206;2;169;312;9;9;9
DEB3C;5518;31453;0.50;6716;2774;23;205;2;164;316;9;9;7
DE265;4922;28055;0.48;5861;2590;23;207;3;184;338;9;9;7
DEB14;4908;27976;0.51;5945;2343;22;207;3;184;338;9;9;7
DE216;2293;13070;1.00;3063;1130;17;221;6;394;559;3;6;6
DE121;4217;24037;0.66;5733;2700;24;209;3;214;372;8;8;6
DE241;2151;12261;1.00;3219;1117;19;223;6;420;589;3;6;7
DE245;2050;11685;0.98;3020;1151;19;224;6;441;612;2;6;7
DE405;5680;32376;0.42;5848;1172;19;205;2;159;307;9;9;9
