NUTS_ID;Operating Hours [h/a];CO2 captured [t/a];PV share [%];Power Installed [kw];Capacity Battery [kwh];Cost of Electricity [€/tCO2];Cost of Heat - CAPEX [€/tCO2];Additional Costs [€/tCO2];CAPEX DAC [€/tCO2];Total Costs [€/tCO2];Score_technology;Score_total;Score_location
DEB12;4011;229028;0.52;77384;29174;35;17;5;337;395;8;8;8
DE275;2438;139210;0.92;61868;30423;37;29;9;554;628;3;6;6
DE145;2172;124021;0.99;57923;26409;35;32;10;622;700;2;5;6
DEG0M;4139;236337;0.52;76326;28226;33;17;5;327;382;8;8;8
DEB13;3783;216009;0.55;77441;29165;36;18;6;357;418;8;8;8
DEE04;4121;235309;0.45;72431;29005;34;17;5;328;384;8;8;9
DE214;2500;142750;0.99;72564;28187;37;28;9;541;614;4;6;6
DEB3B;2782;158852;0.77;67100;30029;38;25;8;486;557;5;6;7
DE231;2997;171129;0.73;70009;30117;38;23;7;451;519;6;7;6
DE234;2966;169359;0.75;70104;29772;38;23;7;456;524;5;7;7
DE946;4633;264544;0.25;62226;27414;29;15;5;292;341;9;8;9
DEE05;3531;201620;0.62;72204;29109;35;20;6;383;444;7;7;8
DE251;3268;186603;0.68;73961;29657;37;21;7;414;479;6;7;7
DE256;3196;182492;0.70;72670;29654;37;22;7;423;488;6;7;7
DE261;2413;137782;0.89;64005;29692;39;29;9;560;636;3;5;7
DE264;2147;122594;0.98;61363;27858;38;32;10;629;710;2;5;6
DE271;2945;168160;0.75;68928;30298;37;24;7;459;527;5;7;6
DE276;3268;186603;0.72;75732;29818;37;21;7;414;479;6;7;7
DE947;4717;269341;0.02;41323;26928;23;15;5;286;329;9;9;9
DEB3C;2899;165533;0.77;70243;29960;38;24;7;466;536;5;6;7
DE265;2998;171186;0.72;71261;29568;39;23;7;451;520;6;7;7
DEB14;2985;170444;0.71;68737;29473;38;23;7;453;521;5;7;7
DE216;2472;141151;1.00;68497;26327;35;28;9;547;619;4;6;6
DE121;2301;131387;0.98;65559;27509;38;30;9;587;664;3;5;6
DE241;3030;173013;0.75;72296;29996;38;23;7;446;514;6;7;7
DE245;3124;178380;0.71;73153;29326;38;22;7;433;500;6;7;7
DE405;4291;245016;0.41;73072;29072;33;16;5;315;370;9;8;9
DED2C;4231;241590;0.51;79177;28984;34;16;5;319;375;8;8;8
DE242;2916;166504;0.74;68952;29179;38;24;7;463;533;5;7;7
DE246;2936;167646;0.75;70279;29460;38;24;7;460;529;5;7;7
DE215;2519;143835;1.00;67938;27883;35;28;9;536;607;4;6;6
DE715;2738;156340;0.78;66886;29946;38;25;8;494;565;5;6;7
DE300;4077;232797;0.43;72285;28401;34;17;5;331;388;8;8;8
DEB22;3788;216295;0.56;75970;29345;36;18;6;357;417;8;8;8
DE146;3039;173527;0.78;72590;30373;37;23;7;445;512;6;7;7
DEA41;4166;237879;0.38;70105;28647;34;17;5;324;380;8;8;9
DEB15;3614;206359;0.58;76384;28734;37;19;6;374;436;7;8;8
DE112;2944;168102;0.76;71122;29425;38;24;7;459;528;5;7;7
DEA51;4077;232797;0.46;72876;29438;34;17;5;331;388;8;8;9
DE147;2037;116313;0.99;55532;24251;36;34;11;663;744;1;4;6
DEA22;3864;220634;0.57;76736;29220;35;18;6;350;408;8;8;8
DEE07;3920;223832;0.52;73404;29182;34;18;5;345;402;8;8;9
DEA34;4491;256436;0.43;77183;28892;33;16;5;301;354;9;8;9
DEA31;4076;232740;0.47;73516;28700;34;17;5;332;388;8;8;8
DE401;3816;217894;0.55;73333;29186;35;18;6;354;413;8;8;8
DE911;4092;233653;0.47;72862;28923;34;17;5;330;386;8;8;9
DE132;2371;135384;0.99;69376;28160;38;29;9;570;646;3;5;5
DE501;4494;256607;0.26;64622;28821;31;15;5;301;352;9;8;9
DE502;4517;257921;0.01;48436;28818;28;15;5;299;347;9;8;9
DEE08;3652;208529;0.62;72527;29531;34;19;6;370;429;7;8;8
DE12A;3211;183348;0.68;76317;29679;39;22;7;421;488;6;7;7
DE931;4153;237136;0.39;68441;28940;33;17;5;325;380;8;8;9
DE235;3000;171300;0.74;72869;30240;39;23;7;450;520;6;7;6
DED41;3652;208529;0.59;72001;29111;35;19;6;370;430;7;8;8
DE948;4553;259976;0.29;66073;27906;31;15;5;297;348;9;8;9
DE243;3245;185290;0.68;74806;29759;38;21;7;416;483;6;7;8
DE247;3086;176211;0.74;73801;29774;38;23;7;438;505;6;7;7
DEB1C;3550;202705;0.57;72547;29083;36;20;6;381;443;7;7;8
DEA35;4444;253752;0.44;78271;28937;34;16;5;304;358;9;8;9
DE402;4135;236109;0.53;76448;28824;33;17;5;327;382;8;8;9
DE932;4608;263117;0.22;57795;26888;28;15;5;293;341;9;8;9
DE217;2355;134471;1.00;67595;26025;37;30;9;574;649;3;5;7
DE406;4128;235709;0.49;76718;28711;34;17;5;327;384;8;8;8
DE711;2775;158453;0.77;67119;29899;38;25;8;487;558;5;6;6
DE716;2169;123850;0.99;60831;27232;37;32;10;623;702;2;5;6
DE224;2034;116141;0.99;54463;26739;36;34;11;664;746;1;4;6
DE941;4475;255523;0.23;63936;28064;31;16;5;302;354;9;8;9
DEE01;3786;216181;0.56;73923;29517;35;18;6;357;416;8;8;8
DE922;4375;249813;0.36;69817;28496;32;16;5;309;362;9;8;9
DE277;3209;183234;0.67;70466;30012;37;22;7;421;486;6;7;7
DE22C;3034;173241;0.74;76024;28920;39;23;7;445;515;6;7;6
DEF05;4421;252439;0.08;47642;28273;27;16;5;306;353;9;8;9
DE27D;3002;171414;0.76;71544;29631;37;23;7;450;518;6;7;7
DEB3D;2839;162107;0.76;68038;29883;38;25;8;476;546;5;6;7
DEA52;4455;254381;0.42;77246;28471;34;16;5;303;357;9;8;9
DED21;4227;241362;0.51;76808;29600;33;16;5;320;375;8;8;8
DEA12;3972;226801;0.43;70001;29408;34;18;5;340;398;8;8;8
DEA26;4249;242618;0.50;77010;29052;33;16;5;318;373;8;8;8
DEA11;4303;245701;0.52;81836;28800;34;16;5;314;369;9;8;9
DE218;2199;125563;0.99;61185;24955;36;32;10;615;692;2;5;6
DEG06;3465;197852;0.63;74454;29504;37;20;6;390;453;7;7;8
DE219;2187;124878;1.00;59328;29253;37;32;10;618;696;2;5;6
DEB23;3907;223090;0.54;75458;30178;35;18;5;346;404;8;8;8
DE407;4078;232854;0.54;78052;29037;34;17;5;331;388;8;8;8
DE942;4857;277335;0.00;43490;27800;23;14;4;278;320;10;9;9
DE133;2308;131787;0.99;66866;26694;37;30;9;586;662;3;5;6
DE949;4403;251411;0.31;65369;28528;31;16;5;307;359;9;8;9
DEA56;4323;246843;0.51;81159;29069;34;16;5;313;368;9;8;9
DE12B;2831;161650;0.78;68712;30963;38;25;8;477;548;5;6;7
DE21A;2189;124992;1.00;58546;29339;36;32;10;617;695;2;5;6
DEG01;3296;188202;0.67;70087;29742;36;21;7;410;473;6;7;8
DE252;3243;185175;0.69;73964;29654;37;21;7;417;482;6;7;8
DE257;3415;194997;0.65;76737;29323;38;20;6;396;460;7;7;8
DED42;3387;193398;0.64;71268;29296;36;21;6;399;462;7;7;8
DEA13;3980;227258;0.43;70474;28793;34;17;5;340;397;8;8;9
DE113;2388;136355;0.98;66591;26611;36;29;9;566;640;3;5;7
DEA28;3926;224175;0.46;68604;29351;34;18;5;344;401;8;8;9
DEF01;4466;255009;0.01;42995;28411;25;16;5;303;348;9;8;9
DE248;2920;166732;0.76;69521;29721;38;24;7;463;532;5;7;7
DEB31;2913;166332;0.73;68862;30614;38;24;7;464;534;5;7;7
DE403;4338;247700;0.47;76626;29150;33;16;5;312;366;9;8;8
DE712;2884;164676;0.77;70428;29707;38;24;7;469;538;5;6;7
DE131;2399;136983;0.98;70158;26822;38;29;9;563;639;3;5;6
DE21B;2341;133671;0.99;67572;26349;37;30;9;577;653;3;5;6
