NUTS_ID;Operating Hours [h/a];CO2 captured [t/a];PV share [%];Power Installed [kw];Capacity Battery [kwh];Cost of Electricity [€/tCO2];Cost of Heat - CAPEX [€/tCO2];Additional Costs [€/tCO2];CAPEX DAC [€/tCO2];Total Costs [€/tCO2];Score_technology;Score_total;Score_location
DEB12;4177;23809;0.52;12426;4423;54;25;8;451;538;9;6;8
DE275;2981;16992;0.74;11342;4086;59;36;11;631;737;6;4;6
DE145;2132;12152;0.98;8376;4423;55;50;15;883;1003;2;2;6
DEG0M;4263;24299;0.53;12083;4398;51;25;8;441;525;9;7;8
DEB13;4081;23262;0.54;12818;4409;56;26;8;461;551;8;6;8
DEE04;4336;24715;0.43;11595;4466;52;25;8;434;518;9;7;9
DE214;2163;12329;1.00;8774;4434;55;49;15;870;990;2;2;6
DEB3B;3196;18217;0.68;11367;4530;59;33;10;589;691;6;5;7
DE231;2988;17032;0.73;10742;4466;58;36;11;630;734;6;4;6
DE234;3458;19711;0.67;12176;4486;58;31;10;544;642;7;5;7
DE946;4568;26038;0.16;8787;4358;45;23;7;412;487;9;7;9
DEE05;4109;23421;0.55;12446;4409;54;26;8;458;545;8;6;8
DE251;3625;20663;0.63;12269;4535;57;29;9;519;615;7;6;7
DE256;3524;20087;0.63;11809;4486;57;30;9;534;630;7;6;7
DE261;2846;16222;0.76;10765;4556;60;37;12;661;770;5;4;7
DE264;2259;12876;0.93;9267;4656;59;47;15;833;954;3;2;6
DE271;2212;12608;0.99;8900;4253;54;48;15;851;968;2;2;6
DE276;2215;12626;0.99;8965;4058;54;48;15;850;967;3;2;7
DE947;4649;26499;0.03;6172;4378;35;23;7;405;470;9;7;9
DEB3C;2972;16940;0.75;10945;4574;58;36;11;633;738;6;4;7
DE265;3435;19580;0.62;11914;4439;59;31;10;548;648;7;5;7
DEB14;3447;19648;0.64;11839;4439;58;31;10;546;644;7;5;7
DE216;2234;12734;1.00;8798;4200;53;48;15;842;958;3;2;6
DE121;2144;12221;1.00;8975;4476;57;50;15;878;1000;2;2;6
DE241;3591;20469;0.64;12435;4511;58;30;9;524;621;7;6;7
DE245;3443;19625;0.64;11818;4488;58;31;10;547;645;7;5;7
DE405;4279;24390;0.42;11252;4433;51;25;8;440;524;9;7;9
DED2C;4219;24048;0.54;12308;4430;52;25;8;446;531;9;7;8
DE242;3428;19540;0.64;11829;4505;58;31;10;549;648;7;5;7
DE246;2976;16963;0.76;10953;4554;58;36;11;632;737;6;4;7
DE215;2267;12922;1.00;8777;4223;52;47;15;830;944;3;2;6
DE715;2492;14204;0.86;9740;4605;59;43;13;755;870;4;3;7
DE300;4247;24208;0.45;11709;4361;52;25;8;443;528;9;7;8
DEB22;3942;22469;0.54;12062;4424;55;27;8;477;567;8;6;8
DE146;2644;15071;0.85;10450;4189;57;40;12;712;822;5;4;7
DEA41;4211;24003;0.42;11116;4439;52;25;8;447;532;9;7;9
DEB15;3860;22002;0.56;12376;4473;57;28;9;488;580;8;6;8
DE112;3426;19528;0.65;12700;4066;60;31;10;549;650;7;5;7
DEA51;4283;24413;0.47;11866;4408;52;25;8;439;524;9;7;9
DE147;2351;13401;1.00;9976;4098;55;45;14;800;915;3;3;6
DEA22;4048;23074;0.53;12088;4402;54;26;8;465;553;8;6;8
DEE07;4220;24054;0.52;12162;4408;52;25;8;446;531;9;7;9
DEA34;4283;24413;0.39;10896;4412;51;25;8;439;523;9;7;9
DEA31;4177;23809;0.49;11756;4391;52;25;8;451;536;9;6;8
DE401;4185;23855;0.50;12079;4332;53;25;8;450;536;9;6;8
DE911;4173;23786;0.48;11443;4385;51;26;8;451;536;9;6;9
DE132;2073;11816;1.00;8675;4175;56;51;16;908;1031;2;1;5
DE501;4332;24692;0.25;9435;4373;48;25;8;434;515;9;7;9
DE502;4588;26152;0.03;7648;4350;42;23;7;410;483;9;7;9
DEE08;4120;23484;0.57;12303;4398;52;26;8;457;543;8;6;8
