NUTS_ID;Min. Available Area (km2);Max. Available Area (km2);Sum of Available Area (km2);Final Score
DE111;0.3;19.3;79.4;7.22
DE112;0.3;7.4;80.8;7.03
DE113;0.3;8.8;98.0;7.4
DE114;0.3;6.9;65.2;6.26
DE115;0.3;7.9;96.5;7.19
DE116;0.3;3.6;83.6;5.31
DE117;0.3;5.4;19.9;2.58
DE118;0.3;3.9;92.3;5.97
DE119;0.3;3.6;36.7;4.09
DE11A;0.3;6.7;64.5;6.48
DE11B;0.3;2.3;44.1;3.68
DE11C;0.3;6.1;44.9;4.34
DE11D;0.3;10.7;95.6;8.35
DE121;0.3;8.9;14.7;3.69
DE122;0.3;10.4;41.5;4.57
DE123;0.3;4.1;117.2;6.05
DE124;0.3;6.2;62.6;6.09
DE125;0.3;3.6;21.7;1.96
DE126;0.3;5.6;37.3;3.45
DE127;0.3;7.3;60.3;6.7
DE128;0.3;8.9;124.2;8.1
DE129;0.3;6.2;19.7;2.61
DE12A;0.3;4.0;54.9;4.98
DE12B;0.3;3.5;60.7;4.55
DE12C;0.3;2.9;40.1;3.35
DE131;0.3;10.4;30.8;4.64
DE132;0.3;2.9;63.0;4.41
DE133;0.3;4.0;35.9;3.55
DE134;0.3;6.8;123.1;7.74
DE135;0.3;7.1;53.6;6
DE136;0.3;3.7;59.1;4.54
DE137;0.3;3.2;49.8;3.84
DE138;0.0;7.6;66.0;6.81
DE139;0.3;4.3;51.8;4.78
DE13A;0.0;3.3;55.0;4.34
DE141;0.3;7.5;73.1;6.83
DE142;0.3;6.1;49.9;5.14
DE143;0.3;9.5;78.8;7.68
DE144;0.3;4.1;25.1;2.14
DE145;0.3;4.3;69.7;5.56
DE146;0.3;4.1;81.7;5.57
DE147;0.3;8.2;52.7;6.31
DE148;0.3;11.3;69.4;7.8
DE149;0.3;4.8;50.0;5.06
DE211;0.3;8.8;30.0;3.59
DE212;0.3;60.8;204.8;8.81
DE213;0.5;5.3;11.2;1.93
DE214;0.3;4.4;32.8;3.4
DE215;0.0;6.6;25.0;3.55
DE216;0.3;5.5;32.8;3.97
DE217;0.3;10.7;36.2;5.97
DE218;0.3;6.3;29.8;3.19
DE219;0.3;3.0;49.8;4.71
DE21A;0.3;6.5;37.4;5.03
DE21B;0.3;4.7;42.7;4.41
DE21C;0.3;8.5;33.9;5.19
DE21D;0.3;7.1;29.6;4.1
DE21E;0.3;4.1;49.0;4.52
DE21F;0.3;4.9;29.7;2.82
DE21G;0.3;5.2;30.9;3.46
DE21H;0.3;6.3;46.3;4.23
DE21I;0.3;6.0;40.7;4.85
DE21J;0.3;5.4;44.4;4.71
DE21K;0.3;6.1;70.3;5.56
DE21L;0.3;9.3;41.3;4.5
DE21M;0.2;4.2;56.5;4.62
DE21N;0.3;4.8;46.6;4.22
DE221;0.3;17.5;20.7;5.48
DE222;0.3;3.2;12.6;1.47
DE223;0.3;8.6;11.3;2.65
DE224;0.3;4.7;41.8;4.29
DE225;0.3;2.8;25.3;2.69
DE226;0.3;4.1;45.9;3.93
DE227;0.3;3.0;49.5;4.06
DE228;0.3;3.8;71.4;5.11
DE229;0.3;3.7;26.3;2.62
DE22A;0.3;6.7;38.4;5.16
DE22B;0.3;2.1;40.0;2.88
DE22C;0.3;2.4;38.3;2.65
DE231;0.6;4.3;9.9;1.92
DE232;0.3;14.4;30.7;5.76
DE233;0.8;5.1;12.1;2.17
DE234;0.3;5.2;37.9;4.41
DE235;0.3;3.5;49.2;4.27
DE236;0.3;5.6;45.0;4.59
DE237;0.3;2.2;38.0;2.56
DE238;0.3;3.4;59.7;4.5
DE239;0.3;4.4;58.4;4.74
DE23A;0.2;3.3;29.4;2.79
DE241;0.5;9.9;15.7;2.95
DE242;0.4;12.2;17.2;4.84
DE243;0.3;11.8;14.5;5.05
DE244;0.4;7.4;12.6;2.65
DE245;0.3;2.6;49.7;3.61
DE246;0.3;3.3;40.3;3.31
DE247;0.3;3.9;35.7;3.84
DE248;0.3;4.3;36.2;3.72
DE249;0.3;2.7;39.8;2.9
DE24A;0.3;2.9;30.1;2.48
DE24B;0.3;4.6;28.1;3.28
DE24C;0.3;2.3;24.0;1.88
DE24D;0.3;3.2;30.2;2.5
DE251;0.3;7.7;10.2;4.13
DE252;0.3;4.9;16.7;2.53
DE253;0.4;4.1;12.2;1.94
DE254;0.3;11.8;69.2;6.64
DE255;0.4;3.7;7.9;1.69
DE256;0.3;2.5;65.0;4.38
DE257;0.3;6.2;49.8;5.29
DE258;0.3;15.7;37.5;6.25
DE259;0.3;8.7;51.5;6.3
DE25A;0.3;5.0;35.0;4.37
DE25B;0.3;2.3;41.0;2.74
DE25C;0.3;3.5;38.3;4.12
DE261;0.4;2.4;12.5;1.48
DE262;1.4;6.9;10.3;2.36
DE263;0.3;10.9;29.0;4.16
DE264;0.3;4.4;57.3;4.99
DE265;0.3;3.0;46.1;4.18
DE266;0.3;3.4;37.7;3.98
DE267;0.3;3.4;29.2;3.5
DE268;0.3;2.6;34.6;2.96
DE269;0.3;2.9;45.9;3.3
DE26A;0.3;2.1;52.4;3.93
DE26B;0.3;2.2;43.6;3.49
DE26C;0.3;4.9;48.6;4.7
DE271;0.3;10.7;47.6;5.01
DE272;2.3;6.6;9.0;2.16
DE273;0.3;8.3;15.9;2.86
DE274;0.3;8.2;11.1;4.63
DE275;0.3;4.6;46.0;4.76
DE276;0.3;10.0;80.7;7.86
DE277;0.3;4.6;47.0;4.85
DE278;0.3;3.8;54.7;5.14
DE279;0.3;4.6;47.5;4.45
DE27A;0.3;5.8;17.8;3.14
DE27B;0.3;3.5;49.8;4.79
DE27C;0.3;3.2;58.5;4.57
DE27D;0.3;3.2;65.6;4.98
DE27E;0.3;7.0;35.7;5.15
DE300;0.3;192.7;481.8;9.97
DE401;0.3;10.3;22.8;4.73
DE402;0.3;9.9;31.3;4.15
DE403;0.0;9.7;17.8;5.06
DE404;0.3;13.4;41.7;4.62
DE405;0.3;22.7;97.8;9.15
DE406;0.3;38.3;113.1;9.57
DE407;0.3;4.8;82.6;6.86
DE408;0.3;39.5;108.1;9.45
DE409;0.3;10.0;86.5;8.33
DE40A;0.2;15.1;105.8;8.81
DE40B;0.3;5.9;71.9;6.28
DE40C;0.2;16.0;112.8;9.26
DE40D;0.3;5.2;71.5;6.76
DE40E;0.2;10.5;109.4;8.69
DE40F;0.3;5.0;55.8;6.38
DE40G;0.2;9.3;82.5;8.15
DE40H;0.2;8.5;79.5;7.87
DE40I;0.3;4.9;80.6;7
DE501;0.5;50.3;128.9;8.59
DE502;0.4;14.1;31.5;3.83
DE600;0.3;288.8;349.0;10.01
DE711;0.3;13.2;22.8;3.96
DE712;0.3;20.0;77.6;7.8
DE713;0.3;7.8;16.1;2.8
DE714;0.3;21.3;43.5;6.93
DE715;0.3;10.4;70.4;7.41
DE716;0.3;3.7;70.7;4.95
