NUTS_ID;County;Solar Installed Capacity;Solar Plant Count;Solar Score;Solar Plants Installed after 2010;Wind Installed Capacity;Wind Plant Count;Wind Plants Installed 2010;Wind Score;RES Score
DEB12;Ahrweiler;1566;2;6.00;3;18700;12;7;4.67;5.33
DE275;Aichach-Friedberg;57824;32;8.00;6;24380;10;10;7.00;7.50
DE145;Alb-Donau-Kreis;45391;25;7.67;4;56690;41;11;4.67;6.17
DEG0M;Altenburger Land;85238;47;7.00;24;96950;52;20;5.00;6.00
DEB13;Altenkirchen (Westerwald);3676;5;5.33;8;27500;18;3;4.33;4.83
DEE04;Altmarkkreis Salzwedel;71508;34;7.67;30;403195;216;84;6.00;6.83
DE214;Altötting;43262;29;8.00;2;0;0;0;0.00;4.00
DEB3B;Alzey-Worms;12171;10;7.00;26;406500;170;127;7.00;7.00
DE231;Amberg;680;1;4.67;7;0;0;0;0.00;2.33
DE234;Amberg-Sulzbach;58038;29;8.00;1;56060;21;21;7.33;7.67
DE946;Ammerland;39684;7;6.67;65;51450;40;1;4.67;5.67
DEE05;Anhalt-Bitterfeld;296643;96;9.67;14;449180;251;45;6.00;7.83
DE251;Ansbach;20323;13;5.33;15;13530;4;4;7.00;6.17
DE256;Ansbach;199320;103;8.67;6;137857;64;45;6.33;7.50
DE261;Aschaffenburg;300;1;4.33;1;0;0;0;0.00;2.17
DE264;Aschaffenburg;7010;3;7.00;6;0;0;0;0.00;3.50
DE271;Augsburg;0;0;0.00;0;0;0;0;0.00;0.00
DE276;Augsburg;64790;32;8.00;1;16700;7;7;7.00;7.50
DE947;Aurich;23375;12;7.00;35;1081653;633;235;6.67;6.83
DEB3C;Bad Dürkheim;5969;3;6.67;25;23510;11;6;4.67;5.67
DE265;Bad Kissingen;48119;24;7.33;40;111835;40;39;7.67;7.50
DEB14;Bad Kreuznach;38941;22;4.67;1;163010;71;51;6.33;5.50
DE216;Bad Tölz-Wolfratshausen;4713;4;5.67;4;0;0;0;0.00;2.83
DE121;Baden-Baden;750;2;3.67;82;0;0;0;0.00;1.83
DE241;Bamberg;379;1;2.33;9;0;0;0;0.00;1.17
DE245;Bamberg;70279;25;7.67;2;98825;40;32;6.33;7.00
DE405;Barnim;331692;36;8.33;16;298960;128;69;6.00;7.17
DED2C;Bautzen;159152;44;7.00;71;135110;88;9;5.33;6.17
DE242;Bayreuth;222;1;4.33;19;0;0;0;0.00;2.17
DE246;Bayreuth;39642;28;6.33;7;121500;48;39;6.67;6.50
DE215;Berchtesgadener Land;9519;4;6.67;43;0;0;0;0.00;3.33
DE715;Bergstraße;12904;8;7.00;26;39150;12;12;7.33;7.17
DE300;Berlin;2735;4;6.67;10;12370;5;4;5.67;6.17
DEB22;Bernkastel-Wittlich;69058;41;6.33;9;218650;78;58;6.67;6.50
DE146;Biberach;25293;16;4.67;1;1130;3;1;2.33;3.50
DEA41;Bielefeld;4428;4;6.00;11;6900;4;1;4.00;5.00
DEB15;Birkenfeld;4513;4;5.00;2;116400;54;28;5.00;5.00
DE112;Böblingen;1609;2;3.00;1;0;0;0;0.00;1.50
DEA51;Bochum;0;0;0.00;0;0;0;0;0.00;0.00
DE147;Bodenseekreis;0;0;0.00;0;3000;1;1;6.67;3.33
DEA22;Bonn;0;0;0.00;0;0;0;0;0.00;0.00
DEE07;Börde;114950;46;5.33;1;723330;419;54;6.33;5.83
DEA34;Borken;1894;4;4.00;63;543130;291;121;6.00;5.00
DEA31;Bottrop;799;2;4.00;15;8200;7;2;4.00;4.00
DE401;Brandenburg an der Havel;109141;13;7.00;16;3000;2;0;3.67;5.33
DE911;Braunschweig;0;0;0.00;0;6500;4;0;4.00;2.00
DE132;Breisgau-Hochschwarzwald;11218;8;7.33;1;8030;7;0;4.00;5.67
DE501;Bremen;871;2;4.00;41;111420;59;26;5.00;4.50
DE502;Bremerhaven;0;0;0.00;0;80770;25;12;4.33;2.17
DEE08;Burgenlandkreis;95954;51;7.00;15;512824;257;106;6.00;6.50
DE12A;Calw;3365;5;6.00;21;18110;10;0;4.00;5.00
DE931;Celle;8906;7;7.33;1;162750;102;17;5.33;6.33
DE235;Cham;4768;8;6.00;3;750;1;0;1.67;3.83
DED41;Chemnitz;21803;15;7.33;20;13150;10;5;4.00;5.67
DE948;Cloppenburg;20811;7;7.33;19;426280;224;82;6.00;6.67
DE243;Coburg;1518;1;4.00;2;0;0;0;0.00;2.00
DE247;Coburg;92355;43;7.33;6;26350;12;9;6.00;6.67
DEB1C;Cochem-Zell;21248;12;7.33;6;141394;78;30;5.33;6.33
DEA35;Coesfeld;7351;7;7.33;5;209307;100;40;5.33;6.33
