NUTS_ID;Operating Hours [h/a];CO2 captured [t/a];PV share [%];Power Installed [kw];Capacity Battery [kwh];Cost of Electricity [€/tCO2];Cost of Heat - CAPEX [€/tCO2];Additional Costs [€/tCO2];CAPEX DAC [€/tCO2];Total Costs [€/tCO2];Score_technology;Score_total;Score_location
DEB12;3259;372178;0.38;99414;51413;32;19;6;365;421;7;8;8
DE275;1899;216866;1.00;86209;49086;32;32;10;626;700;2;5;6
DE145;2109;240848;1.00;98976;44839;31;29;9;564;633;3;6;6
DEG0M;3299;376746;0.42;98927;50110;31;19;6;360;415;7;8;8
DEB13;3096;353563;0.39;99586;51684;33;20;6;384;443;6;7;8
DEE04;3555;405981;0.30;98513;50791;30;17;5;335;387;8;8;9
DE214;2062;235480;1.00;98595;44907;32;30;9;577;647;3;5;6
DEB3B;2030;231826;1.00;99129;48895;33;30;9;586;658;2;5;7
DE231;2036;232511;0.99;97891;47505;33;30;9;584;656;3;5;6
DE234;2048;233882;0.99;98793;47077;33;30;9;581;652;3;5;7
DE946;4550;519610;0.10;96511;51059;26;13;4;261;305;9;9;9
DEE05;3093;353221;0.25;88447;53191;33;20;6;384;443;6;7;8
DE251;2040;232968;0.99;98085;48681;33;30;9;583;655;3;5;7
DE256;2114;241419;0.95;97673;52219;33;29;9;563;634;3;5;7
DE261;2018;230456;0.99;98936;48495;33;30;9;589;662;2;5;7
DE264;1989;227144;1.00;98888;46959;33;31;10;598;672;2;5;6
DE271;2114;241419;1.00;99153;45457;31;29;9;563;632;3;6;6
DE276;2149;245416;1.00;98505;47778;31;29;9;553;622;3;6;7
DE947;4807;548959;0.01;73095;50495;20;13;4;247;284;9;9;9
DEB3C;2039;232854;1.00;98938;48649;33;30;9;583;655;3;5;7
DE265;1986;226801;1.00;98837;47289;33;31;10;599;673;2;5;7
DEB14;2342;267456;0.81;99448;53771;34;26;8;508;576;4;6;7
DE216;2160;246672;1.00;99427;44909;30;28;9;551;618;3;6;6
DE121;2008;229314;1.00;95638;49056;33;31;9;592;665;2;5;6
DE241;1985;226687;1.00;97214;46509;33;31;10;599;672;2;5;7
DE245;1959;223718;1.00;95306;46599;33;31;10;607;681;2;5;7
DE405;3723;425167;0.20;96943;50705;30;16;5;319;371;8;8;9
DED2C;3397;387937;0.34;99069;50672;31;18;6;350;405;7;8;8
DE242;2005;228971;1.00;97346;48276;33;31;9;593;666;2;5;7
DE246;1974;225431;1.00;97018;45561;33;31;10;602;676;2;5;7
DE215;2202;251468;1.00;99569;45086;30;28;9;540;606;3;6;6
