NUTS_ID;County;Total_Score;IWH_Score;E_Score;RES_Score;TP_Score;LU_Score
DE111;Stuttgart;5.91;8;3;6;10;7
DE112;Böblingen;6.46;5;5;6;10;7
DE113;Esslingen;5.57;7;4;6;6;7
DE114;Göppingen;5.97;9;4;8;7;6
DE115;Ludwigsburg;5.22;7;4;5;5;7
DE116;Rems-Murr-Kreis;6.28;7;5;6;9;5
DE117;Heilbronn;4.67;6;5;0;8;3
DE118;Heilbronn;5.90;6;5;7;7;6
DE119;Hohenlohekreis;6.30;4;6;7;10;4
DE11A;Schwäbisch Hall;6.70;6;6;7;9;6
DE11B;Main-Tauber-Kreis;5.75;2;6;5;10;4
DE11C;Heidenheim;6.59;8;6;6;10;4
DE11D;Ostalbkreis;6.28;9;3;6;10;8
DE121;Baden-Baden;4.48;0;3;6;10;4
DE122;Karlsruhe;5.32;4;4;5;9;5
DE123;Karlsruhe;6.46;8;5;6;9;6
DE124;Rastatt;6.73;10;5;6;10;6
DE125;Heidelberg;5.59;8;5;4;10;2
DE126;Mannheim;5.59;9;4;6;9;3
DE127;Neckar-Odenwald-Kreis;6.25;8;5;5;8;7
DE128;Rhein-Neckar-Kreis;7.05;8;5;6;10;8
DE129;Pforzheim;5.03;6;5;0;9;3
DE12A;Calw;5.03;0;4;6;9;5
DE12B;Enzkreis;5.33;0;5;6;9;5
DE12C;Freudenstadt;4.68;5;3;6;9;3
DE131;Freiburg im Breisgau;4.04;8;1;5;8;5
DE132;Breisgau-Hochschwarzwald;4.04;5;1;6;8;4
DE133;Emmendingen;3.74;0;2;4;9;4
DE134;Ortenaukreis;4.38;6;1;5;7;8
DE135;Rottweil;4.12;6;1;6;7;6
DE136;Schwarzwald-Baar-Kreis;3.67;6;1;4;7;5
DE137;Tuttlingen;3.82;5;2;6;6;4
DE138;Konstanz;5.16;5;2;5;10;7
DE139;Lörrach;4.29;7;1;4;9;5
DE13A;Waldshut;4.71;4;3;7;8;4
DE141;Reutlingen;5.28;7;2;7;9;7
DE142;Tübingen;3.85;0;1;7;9;5
DE143;Zollernalbkreis;5.64;6;3;7;8;8
DE144;Ulm;4.82;5;3;7;10;2
DE145;Alb-Donau-Kreis;5.68;8;3;5;10;6
DE146;Biberach;6.06;5;5;6;10;6
DE147;Bodenseekreis;5.36;4;3;6;10;6
DE148;Ravensburg;5.38;6;2;6;9;8
DE149;Sigmaringen;5.60;8;3;6;10;5
DE211;Ingolstadt;4.11;0;3;5;8;4
DE212;München;5.33;6;2;4;9;9
DE213;Rosenheim;3.56;0;3;0;10;2
DE214;Altötting;5.16;9;3;6;9;3
DE215;Berchtesgadener Land;4.32;4;2;5;10;4
DE216;Bad Tölz-Wolfratshausen;4.55;5;2;7;9;4
DE217;Dachau;6.08;6;4;8;10;6
DE218;Ebersberg;4.57;6;2;6;10;3
DE219;Eichstätt;5.17;6;3;4;10;5
DE21A;Erding;5.25;5;3;6;10;5
DE21B;Freising;5.19;7;3;8;8;4
DE21C;Fürstenfeldbruck;4.04;0;2;6;8;5
DE21D;Garmisch-Partenkirchen;4.63;5;3;8;7;4
DE21E;Landsberg am Lech;4.26;6;3;4;6;5
DE21F;Miesbach;4.65;6;2;8;10;3
DE21G;Mühldorf a.Inn;5.16;9;3;8;8;3
DE21H;München;4.67;8;2;6;8;4
DE21I;Neuburg-Schrobenhausen;5.47;6;4;7;8;5
DE21J;Pfaffenhofen a.d.Ilm;5.09;10;3;5;7;5
DE21K;Rosenheim;5.78;8;3;7;10;6
DE21L;Starnberg;4.65;0;3;7;10;5
DE21M;Traunstein;4.68;6;2;7;8;5
DE21N;Weilheim-Schongau;4.04;7;2;5;6;4
DE221;Landshut;4.39;0;3;7;7;5
DE222;Passau;3.88;1;4;6;7;1
DE223;Straubing;4.70;4;3;6;10;3
DE224;Deggendorf;4.88;5;2;7;10;4
DE225;Freyung-Grafenau;4.22;5;2;7;8;3
DE226;Kelheim;5.76;8;4;6;10;4
DE227;Landshut;5.20;6;4;8;7;4
DE228;Passau;4.69;2;3;7;8;5
DE229;Regen;4.19;4;2;6;9;3
DE22A;Rottal-Inn;5.15;4;3;6;10;5
DE22B;Straubing-Bogen;4.41;0;3;7;10;3
DE22C;Dingolfing-Landau;5.06;9;3;6;9;3
DE231;Amberg;4.58;5;3;7;9;2
DE232;Regensburg;6.17;5;5;8;9;6
DE233;Weiden i.d.OPf.;4.52;4;4;7;7;2
DE234;Amberg-Sulzbach;6.01;5;6;7;8;4
DE235;Cham;4.20;0;3;6;8;4
DE236;Neumarkt i.d.OPf.;5.51;8;3;7;10;5
